date,repo,referrer,views,unique_visitors
2026-02-23,MuteJack/Mycopsychosys-UnOfficial_Korean_Translation,github.com,3,1
2026-02-23,MuteJack/Mycopsychosys-UnOfficial_Korean_Translation,link.naver.com,3,1
2026-02-23,MuteJack/Mycopsychosys-UnOfficial_Korean_Translation,m.dcinside.com,1,1
2026-02-24,MuteJack/Mycopsychosys-UnOfficial-Patch,gall.dcinside.com,84,21
2026-02-24,MuteJack/Mycopsychosys-UnOfficial-Patch,youtube.com,20,5
2026-02-24,MuteJack/Mycopsychosys-UnOfficial-Patch,github.com,18,7
2026-02-24,MuteJack/Mycopsychosys-UnOfficial-Patch,blog.naver.com,12,9
2026-02-24,MuteJack/Mycopsychosys-UnOfficial-Patch,m.dcinside.com,10,5
2026-02-24,MuteJack/Mycopsychosys-UnOfficial-Patch,m.blog.naver.com,6,6
2026-02-24,MuteJack/Mycopsychosys-UnOfficial-Patch,Google,1,1
2026-02-24,MuteJack/Mycopsychosys-UnOfficial_Korean_Translation,gall.dcinside.com,22,6
2026-02-24,MuteJack/Mycopsychosys-UnOfficial_Korean_Translation,m.blog.naver.com,8,4
2026-02-24,MuteJack/Mycopsychosys-UnOfficial_Korean_Translation,blog.naver.com,6,2
2026-02-24,MuteJack/Mycopsychosys-UnOfficial_Korean_Translation,github.com,3,1
2026-02-24,MuteJack/Mycopsychosys-UnOfficial_Korean_Translation,link.naver.com,3,1
2026-02-24,MuteJack/Mycopsychosys-UnOfficial_Korean_Translation,Bing,2,2
2026-02-24,MuteJack/Mycopsychosys-UnOfficial_Korean_Translation,m.dcinside.com,1,1
